Date,SP500Ex7
6/2/2017,1535.93
6/5/2017,1533.33
6/6/2017,1528.85
6/7/2017,1530.68
6/8/2017,1530.62
6/9/2017,1537.19
6/12/2017,1538.43
6/13/2017,1543.78
6/14/2017,1543.24
6/15/2017,1540.78
6/16/2017,1541.29
6/19/2017,1551.84
6/20/2017,1541.66
6/21/2017,1538.77
6/22/2017,1538.37
6/23/2017,1539.58
6/26/2017,1542.19
6/27/2017,1532.37
6/28/2017,1544.64
6/29/2017,1533.53
6/30/2017,1536.61
7/3/2017,1543.18
7/5/2017,1543.07
7/6/2017,1528.17
7/7/2017,1536.38
7/10/2017,1535.41
7/11/2017,1533.33
7/12/2017,1543.18
7/13/2017,1545.31
7/14/2017,1551.58
7/17/2017,1550.77
7/18/2017,1549.87
7/19/2017,1558.11
7/20/2017,1557.73
7/21/2017,1557.3
7/24/2017,1553.75
7/25/2017,1559.97
7/26/2017,1559.82
7/27/2017,1560.15
7/28/2017,1558.28
7/31/2017,1559.96
8/1/2017,1563.31
8/2/2017,1561.38
8/3/2017,1558.91
8/4/2017,1561.09
8/7/2017,1562.24
8/8/2017,1557.5
8/9/2017,1557.01
8/10/2017,1537
8/11/2017,1537.18
8/14/2017,1551.12
8/15/2017,1549.77
8/16/2017,1552.49
8/17/2017,1529.2
8/18/2017,1526.07
8/21/2017,1528.93
8/22/2017,1542.73
8/23/2017,1536.98
8/24/2017,1534.33
8/25/2017,1537.84
8/28/2017,1537.83
8/29/2017,1537.74
8/30/2017,1543.84
8/31/2017,1551.7
9/1/2017,1555.94
9/5/2017,1544.84
9/6/2017,1550.3
9/7/2017,1548.59
9/8/2017,1548.83
9/11/2017,1565.14
9/12/2017,1571.33
9/13/2017,1572.09
9/14/2017,1572.22
9/15/2017,1574.25
9/18/2017,1578.18
9/19/2017,1579.29
9/20/2017,1581.45
9/21/2017,1578.29
9/22/2017,1580.73
9/25/2017,1580.92
9/26/2017,1579.46
9/27/2017,1583.64
9/28/2017,1585.59
9/29/2017,1590.35
10/2/2017,1598.15
10/3/2017,1601.78
10/4/2017,1604.47
10/5/2017,1611.2
10/6/2017,1608.26
10/9/2017,1604.26
10/10/2017,1608.89
10/11/2017,1610.39
10/12/2017,1606.91
10/13/2017,1607.27
10/16/2017,1608.61
10/17/2017,1609.19
10/18/2017,1611.25
10/19/2017,1614.45
10/20/2017,1623.17
10/23/2017,1618.08
10/24/2017,1620.01
10/25/2017,1612.2
10/26/2017,1613.97
10/27/2017,1614.83
10/30/2017,1606.42
10/31/2017,1607.65
11/1/2017,1610.61
11/2/2017,1610.99
11/3/2017,1613.73
11/6/2017,1614.89
11/7/2017,1613.76
11/8/2017,1615.3
11/9/2017,1609.53
11/10/2017,1608.44
11/13/2017,1610.68
11/14/2017,1607.19
11/15/2017,1599.37
11/16/2017,1612.25
11/17/2017,1609.3
11/20/2017,1611.76
11/21/2017,1619.89
11/22/2017,1617.69
11/24/2017,1619.74
11/27/2017,1618.02
11/28/2017,1637.2
11/29/2017,1643.68
11/30/2017,1656.62
12/1/2017,1654.64
12/4/2017,1658.13
12/5/2017,1649.74
12/6/2017,1647.26
12/7/2017,1651.08
12/8/2017,1660.43
12/11/2017,1663.88
12/12/2017,1667.91
12/13/2017,1666.83
12/14/2017,1658.66
12/15/2017,1672.24
12/18/2017,1680.4
12/19/2017,1676.04
12/20/2017,1675.64
12/21/2017,1679.57
12/22/2017,1679.11
12/26/2017,1679.08
12/27/2017,1680.23
12/28/2017,1683.52
12/29/2017,1675.49
1/2/2018,1687.09
1/3/2018,1696.62
1/4/2018,1703.34
1/5/2018,1713.66
1/8/2018,1715.75
1/9/2018,1718.34
1/10/2018,1716.41
1/11/2018,1728.98
1/12/2018,1740.68
1/16/2018,1735.11
1/17/2018,1751.46
1/18/2018,1747.89
1/19/2018,1756.2
1/22/2018,1769.15
1/23/2018,1770.47
1/24/2018,1771.78
1/25/2018,1772.7
1/26/2018,1793.87
1/29/2018,1781.58
1/30/2018,1760
1/31/2018,1758.46
2/1/2018,1758.63
2/2/2018,1722.5
2/5/2018,1651.49
2/6/2018,1675.62
2/7/2018,1671.8
2/8/2018,1610.52
2/9/2018,1632.71
2/12/2018,1653.83
2/13/2018,1657.18
2/14/2018,1677.26
2/15/2018,1695.58
2/16/2018,1697.87
2/20/2018,1684.96
2/21/2018,1674.28
2/22/2018,1675.29
2/23/2018,1701.43
2/26/2018,1720.56
2/27/2018,1698.32
2/28/2018,1678.09
3/1/2018,1657.12
3/2/2018,1665.18
3/5/2018,1684.03
3/6/2018,1688.58
3/7/2018,1686.22
3/8/2018,1693.15
3/9/2018,1721.66
3/12/2018,1717.13
3/13/2018,1708.94
3/14/2018,1697.33
3/15/2018,1695.74
3/16/2018,1699.96
3/19/2018,1679.6
3/20/2018,1681.59
3/21/2018,1680.28
3/22/2018,1638.1
3/23/2018,1605.85
3/26/2018,1644.94
3/27/2018,1623.33
3/28/2018,1621
3/29/2018,1641.32
4/2/2018,1606
4/3/2018,1626.78
4/4/2018,1644.6
4/5/2018,1655.09
4/6/2018,1619.47
4/9/2018,1623.99
4/10/2018,1649.05
4/11/2018,1640.13
4/12/2018,1652.82
4/13/2018,1648.04
4/16/2018,1661.62
4/17/2018,1675.07
4/18/2018,1676.5
4/19/2018,1665.87
4/20/2018,1655.04
4/23/2018,1656.03
4/24/2018,1638.4
4/25/2018,1642.34
4/26/2018,1654.46
4/27/2018,1655.16
4/30/2018,1640.78
5/1/2018,1640.92
5/2/2018,1625.48
5/3/2018,1620.65
5/4/2018,1639.03
5/7/2018,1642.64
5/8/2018,1642.03
5/9/2018,1656.45
5/10/2018,1671.38
5/11/2018,1675.77
5/14/2018,1677.45
5/15/2018,1668.01
5/16/2018,1675.16
5/17/2018,1674.75
5/18/2018,1670.91
5/21/2018,1682.73
5/22/2018,1677.6
5/23/2018,1680.64
5/24/2018,1677.11
5/25/2018,1672.22
5/29/2018,1650.43
5/30/2018,1673.36
5/31/2018,1658.09
6/1/2018,1673.77
6/4/2018,1679.4
6/5/2018,1678.86
6/6/2018,1696.02
6/7/2018,1697.52
6/8/2018,1704.23
6/11/2018,1705.95
6/12/2018,1707.81
6/13/2018,1700.65
6/14/2018,1702.58
6/15/2018,1702.79
6/18/2018,1696.11
6/19/2018,1689.6
6/20/2018,1690.27
6/21/2018,1680.17
6/22/2018,1685.44
6/25/2018,1665.55
6/26/2018,1667.17
6/27/2018,1654.07
6/28/2018,1662.63
6/29/2018,1664.87
7/2/2018,1667.11
7/3/2018,1662.53
